index,split,image_name,image_path,mask_path
0,train,156.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\156.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\156.png
1,train,277.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\277.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\277.png
2,train,20.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\20.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\20.png
3,train,546.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\546.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\546.png
4,train,29.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\29.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\29.png
5,train,319.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\319.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\319.png
6,train,299.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\299.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\299.png
7,train,440.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\440.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\440.png
8,train,597.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\597.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\597.png
9,train,157.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\157.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\157.png
10,train,393.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\393.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\393.png
11,train,54.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\54.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\54.png
12,train,256.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\256.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\256.png
13,train,508.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\508.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\508.png
14,train,451.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\451.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\451.png
15,train,84.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\84.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\84.png
16,train,493.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\493.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\493.png
17,train,150.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\150.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\150.png
18,train,509.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\509.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\509.png
19,train,247.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\247.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\247.png
20,train,554.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\554.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\554.png
21,train,406.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\406.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\406.png
22,train,149.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\149.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\149.png
